date,indicator,value,unit,frequency,source
1990-02-28,Cash Rate Target,-0.5,Percent,Monthly,RBA
1990-08-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1990-10-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1990-12-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1991-04-30,Cash Rate Target,-0.5,Percent,Monthly,RBA
1991-05-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1991-09-30,Cash Rate Target,-1.0,Percent,Monthly,RBA
1991-11-30,Cash Rate Target,-1.0,Percent,Monthly,RBA
1992-01-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1992-05-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
1992-07-31,Cash Rate Target,-0.75,Percent,Monthly,RBA
1993-03-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1993-07-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1994-08-31,Cash Rate Target,0.75,Percent,Monthly,RBA
1994-10-31,Cash Rate Target,1.0,Percent,Monthly,RBA
1994-12-31,Cash Rate Target,1.0,Percent,Monthly,RBA
1996-07-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1996-11-30,Cash Rate Target,-0.5,Percent,Monthly,RBA
1996-12-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1997-05-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1997-07-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
1997-10-31,Cash Rate Target,0.0,Percent,Monthly,RBA
1998-12-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
1999-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2000-02-29,Cash Rate Target,0.5,Percent,Monthly,RBA
2000-04-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2000-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2000-08-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2001-02-28,Cash Rate Target,-0.5,Percent,Monthly,RBA
2001-03-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2001-04-30,Cash Rate Target,-0.5,Percent,Monthly,RBA
2001-09-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2001-10-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2001-12-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2002-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2002-06-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2003-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2003-12-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2005-03-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2006-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2006-08-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2006-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2007-08-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2007-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2008-02-29,Cash Rate Target,0.25,Percent,Monthly,RBA
2008-03-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2008-09-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2008-10-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
2008-11-30,Cash Rate Target,-0.75,Percent,Monthly,RBA
2008-12-31,Cash Rate Target,-1.0,Percent,Monthly,RBA
2009-02-28,Cash Rate Target,-1.0,Percent,Monthly,RBA
2009-04-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2009-10-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2009-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2009-12-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2010-03-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2010-04-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2010-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2010-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2011-11-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2011-12-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2012-05-31,Cash Rate Target,-0.5,Percent,Monthly,RBA
2012-06-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2012-10-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2012-12-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2013-05-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2013-08-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2015-02-28,Cash Rate Target,-0.25,Percent,Monthly,RBA
2015-05-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2016-05-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2016-08-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2019-06-30,Cash Rate Target,-0.25,Percent,Monthly,RBA
2019-07-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2019-10-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2020-03-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2020-03-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2020-11-30,Cash Rate Target,-0.15,Percent,Monthly,RBA
2022-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2022-06-30,Cash Rate Target,0.5,Percent,Monthly,RBA
2022-07-31,Cash Rate Target,0.5,Percent,Monthly,RBA
2022-08-31,Cash Rate Target,0.5,Percent,Monthly,RBA
2022-09-30,Cash Rate Target,0.5,Percent,Monthly,RBA
2022-10-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2022-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2022-12-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2023-02-28,Cash Rate Target,0.25,Percent,Monthly,RBA
2023-03-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2023-05-31,Cash Rate Target,0.25,Percent,Monthly,RBA
2023-06-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2023-11-30,Cash Rate Target,0.25,Percent,Monthly,RBA
2025-02-28,Cash Rate Target,-0.25,Percent,Monthly,RBA
2025-05-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2025-08-31,Cash Rate Target,-0.25,Percent,Monthly,RBA
2026-02-28,Cash Rate Target,0.25,Percent,Monthly,RBA
